StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,timing_info_consent_First Click,timing_info_consent_Last Click,timing_info_consent_Page Submit,timing_info_consent_Click Count,CONSENT,prolific ID,prolif_check,vax_att_1,vax_att_2,vax_att_3,vax_att_4,vax_att_5,att_check_1,vax_yet,vax_futureY,vax_futureN,timing_cntrl1_First Click,timing_cntrl1_Last Click,timing_cntrl1_Page Submit,timing_cntrl1_Click Count,timing_cntrl1_First Click,timing_cntrl1_Last Click,timing_cntrl1_Page Submit,timing_cntrl1_Click Count,timing_cntrl1_First Click,timing_cntrl1_Last Click,timing_cntrl1_Page Submit,timing_cntrl1_Click Count,timing_cntrl1_First Click,timing_cntrl1_Last Click,timing_cntrl1_Page Submit,timing_cntrl1_Click Count,timing_control_1_First Click,timing_control_1_Last Click,timing_control_1_Page Submit,timing_control_1_Click Count,timer_cntrl2_First Click,timer_cntrl2_Last Click,timer_cntrl2_Page Submit,timer_cntrl2_Click Count,timer_cntrl2_First Click,timer_cntrl2_Last Click,timer_cntrl2_Page Submit,timer_cntrl2_Click Count,timer_cntrl2_First Click,timer_cntrl2_Last Click,timer_cntrl2_Page Submit,timer_cntrl2_Click Count,timer_cntrl2_First Click,timer_cntrl2_Last Click,timer_cntrl2_Page Submit,timer_cntrl2_Click Count,timing_control2_First Click,timing_control2_Last Click,timing_control2_Page Submit,timing_control2_Click Count,timer_cntrl3_First Click,timer_cntrl3_Last Click,timer_cntrl3_Page Submit,timer_cntrl3_Click Count,timer_cntrl3_First Click,timer_cntrl3_Last Click,timer_cntrl3_Page Submit,timer_cntrl3_Click Count,timer_cntrl3_First Click,timer_cntrl3_Last Click,timer_cntrl3_Page Submit,timer_cntrl3_Click Count,timer_cntrl3_First Click,timer_cntrl3_Last Click,timer_cntrl3_Page Submit,timer_cntrl3_Click Count,timing_control3_First Click,timing_control3_Last Click,timing_control3_Page Submit,timing_control3_Click Count,timing_control4_First Click,timing_control4_Last Click,timing_control4_Page Submit,timing_control4_Click Count,timing_control4_First Click,timing_control4_Last Click,timing_control4_Page Submit,timing_control4_Click Count,timing_control4_First Click,timing_control4_Last Click,timing_control4_Page Submit,timing_control4_Click Count,timing_control4_First Click,timing_control4_Last Click,timing_control4_Page Submit,timing_control4_Click Count,timing_control4_First Click,timing_control4_Last Click,timing_control4_Page Submit,timing_control4_Click Count,Q1,timing_choice1_First Click,timing_choice1_Last Click,timing_choice1_Page Submit,timing_choice1_Click Count,Q2,timing_choice2_First Click,timing_choice2_Last Click,timing_choice2_Page Submit,timing_choice2_Click Count,Q3,timing_choice3_First Click,timing_choice3_Last Click,timing_choice3_Page Submit,timing_choice3_Click Count,Q4,timing_choice4_First Click,timing_choice4_Last Click,timing_choice4_Page Submit,timing_choice4_Click Count,post_vax_att_1,post_vax_att_2,post_vax_att_3,post_vax_att_4,post_vax_att_5,att_check_2,vax_future_2,experience_1,experience_2,experience_3,experience_4,information_1,information_2,information_3,information_4,ITT_1_A,ITT_2_A,ITT_3_A,timing_ITT_A_First Click,timing_ITT_A_Last Click,timing_ITT_A_Page Submit,timing_ITT_A_Click Count,ITT_1_F,ITT_2_F,ITT_3_F,timing_ITT_F_First Click,timing_ITT_F_Last Click,timing_ITT_F_Page Submit,timing_ITT_F_Click Count,discuss_1,read_1,age,gender,gender_4_TEXT,edu,take_part_again,anything_else,friend,PROLIFIC_PID,condition,clicked_t,clicked_f,FL_3_DO,Block1_Cntrl_DO,Block2_Cntrl_DO,Block3_Cntrl_DO,Block4_Cntrl_DO
17/05/2021,17/05/2021,IP Address,100,381,TRUE,17/05/2021 12:20,R_2dhZp9cgObd3MGN,anonymous,EN,5.232,9.367,10.256,3,YES,NA,Against (I feel negatively about the vaccines),Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Somewhat disagree,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Are the vaccines safe?,2.528,2.528,11.615,1,Do we know enough about Covid-19 to develop a vaccine?,2.127,2.127,4.253,1,Is the pharmaceutical industry getting richer because of these vaccines?,2.512,2.512,5.438,1,Is herd immunity possible without vaccination?,3.077,6.591,12.937,2,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat agree,No,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Somewhat Agree,Disagree,Disagree,Unsure of side effects,Vaccine was produced too quickly,Why vaccinate healthy people against something they have never had,9.312,60.813,61.492,5,It will fight covid in its path,They are protected against the disease,It‰Ûªs in the countries best interest,2.793,60.779,61.239,13,Most weeks,Most months,36,Male,-99,A levels,Very likely,-99,Yes,NA,choice,0,0,FL_14,,,,
17/05/2021,17/05/2021,IP Address,100,128,TRUE,17/05/2021 12:22,R_3F3fVqisfblbWvX,anonymous,EN,1.932,89.089,89.938,28,YES,NA,Neutral (I don't have strong opinions either way),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,
17/05/2021,17/05/2021,IP Address,100,862,TRUE,17/05/2021 12:22,R_RxH2MNoOYsnW9hf,anonymous,EN,8.957,8.957,10.134,1,YES,NA,Against (I feel negatively about the vaccines),Somewhat Disagree,Somewhat Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat disagree,No,,Undecided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can we trust who made the vaccine?,0,0,78.521,0,Do we know enough about Covid-19 to develop a vaccine?,0,0,75.432,0,Are there serious side effects to the vaccine?,0,0,79.274,0,How is the Covid-19 vaccine different to other vaccines?,0,0,139.133,0,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat agree,Undecided,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,"Even though the development of the vaccine was fast, they have used RNA technology that took about 30 years to work effectively.",Most vaccines have side effects such as headaches and muscle aches so it is the same with eh COVID vaccines.,The fast development was due to China sharing the COVID shape to the world so that it would reduce the time to research.,1.393,89.219,129.275,6,There have been 7 people that have died from it as it caused them a rare blood clot disease.,The research and development was too fast for a vaccine.,The double dose doesn't make sense in terms of science. ,3.255,3.255,154.7,1,Rarely,Most months,20,Female,-99,A levels,Somewhat likely,n/a,Yes,NA,choice,0,0,FL_14,,,,
17/05/2021,17/05/2021,IP Address,100,1164,TRUE,17/05/2021 12:23,R_tVEh3XxZrfDU4KJ,anonymous,EN,2.61,13.256,14.887,8,YES,NA,Against (I feel negatively about the vaccines),Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat disagree,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Are the vaccines safe?,6.978,128.648,130.543,37,Is Covid-19 dangerous for someone young like me?,111.428,193.968,196.132,7,Are there serious side effects to the vaccine?,12.733,118.098,119.463,29,How is the Covid-19 vaccine different to other vaccines?,10.818,57.589,58.411,17,Somewhat Disagree,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat agree,No,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Concern over a reaction to the vaccine,Worried about chance of serious side affects ,General disbelief in the effectiveness of requirement to be vaccinated in the first place ,11.158,64.525,65.311,8,Get life back to some sort of new normal with lifting restrictions on everyday life,Full confidence in the safety of the vaccination program,"Feel like there is no choice in the matter other than too have the vaccination to support friends, family etc",91.091,180.35,181.096,11,Most weeks,Most days,34,Male,-99,A levels,Very likely,"I enjoyed taking part in the survey and I would be happy to participate again in the future. Currently I have not been invited to have my first vaccination but following up on reading new studies, information which I am conscious of false / fake news has made me question the programme, effectiveness and threat.",Yes,NA,choice,0,0,FL_14,,,,
17/05/2021,17/05/2021,IP Address,100,783,TRUE,17/05/2021 12:24,R_9T5weXjin13jQqt,anonymous,EN,3.684,9.023,10.241,3,YES,NA,Against (I feel negatively about the vaccines),Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat disagree,No,,No,,,,,,,,,,,,,3.296,127.272,128.164,28,,,,,,,,,,,,,,,,,2.444,91.902,94.316,14,,,,,,,,,,,,,,,,,2.035,37.585,41.626,14,,,,,,,,,,,,,,,,,2.175,38.005,40.417,15,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat agree,No,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,We do not know the side effects of it in a couple of years time ,It has not been developed long enough to see the reactions or effectiveness. ,There are natural ways to help boost the immune system and fight the virus instead of putting artificial substances into the body. ,14.534,138.194,139.164,11,Don‰Ûªt want to spread the virus ,Want to protect friends and family. ,"Because X Y Z (friends, family, celebrity, influencer etc) has had it, so it should be safe. ",6.398,82.558,83.668,7,Most months,Most months,27,Female,-99,"Undergraduate degree (BSc, BA)",Very likely,-99,Yes,NA,control,0,0,FL_13,timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|3.1cntrl,timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|5.2cntrl,timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|3.3cntrl,timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|4.4cntrl
17/05/2021,17/05/2021,IP Address,100,69,TRUE,17/05/2021 12:29,R_URZIROusrnfQ8Wl,anonymous,EN,8.175,17.235,18.065,9,YES,NA,Neutral (I don't have strong opinions either way),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,
17/05/2021,17/05/2021,IP Address,100,549,TRUE,17/05/2021 12:30,R_Adi6HlRUMB5K4pj,anonymous,EN,6.768,12.601,13.822,5,YES,NA,Against (I feel negatively about the vaccines),Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Somewhat disagree,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have the vaccines been rushed?,26.946,32.709,33.946,3,Can we trust vaccines from all countries?,21.76,22.797,23.76,2,Is the pharmaceutical industry getting richer because of these vaccines?,3.084,3.084,4.365,1,Is herd immunity possible without vaccination?,0.741,0.741,1.855,1,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,No,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,It's not guaranteed full immunity,Not enough time to develop the vaccine,Side effects or risks of taking the vaccine,8.301,65.553,66.013,6,Less likely to get it,Help prevent the spread,To help protect against Underlying health conditions ,3.202,81.751,82.665,12,Most months,Most months,27,Female,-99,A levels,Very likely,Found the study interesting,Yes,NA,choice,0,0,FL_14,,,,
17/05/2021,17/05/2021,IP Address,100,726,TRUE,17/05/2021 12:33,R_O88kxYmLH3XAbQZ,anonymous,EN,4.847,23.033,23.761,6,YES,NA,Against (I feel negatively about the vaccines),Neither Agree nor Disagree,Somewhat Disagree,Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat disagree,No,,No,,,,,,,,,,,,,2.972,76.856,77.785,25,,,,,,,,,,,,,,,,,5.23,74.417,77.2,19,,,,,,,,,,,,,,,,,3.113,41.146,43.505,17,,,,,,,,,,,,,,,,,1.614,54.928,56.742,14,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat agree,Undecided,Agree,Neither Agree nor Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Don‰Ûªt know the long term effects ,It doesn‰Ûªt stop the spread just how much it impacts so young people wouldn‰Ûªt need it as much ,It‰Ûªs scary to feel forced in to taking a vaccine that‰Ûªs just been developed ,9.899,105.204,144.288,7,Protect yourself from getting the virus very badly ,Protect others from getting the virus ,The best scientist have made it so it should be safe,2.306,68.997,71.469,15,Most months,A few times a year,21,Female,-99,A levels,Very likely,-99,Yes,NA,control,0,0,FL_13,timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|3.1cntrl,timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|3.2cntrl,timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|4.3cntrl,timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|3.4cntrl
17/05/2021,17/05/2021,IP Address,100,730,TRUE,17/05/2021 12:34,R_eEEzsfvMaR2tv3z,anonymous,EN,8.388,9.477,10.872,2,YES,NA,Against (I feel negatively about the vaccines),Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Somewhat disagree,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have the vaccines been rushed?,64.481,82.508,83.448,2,"Could the virus mutate, reducing the effectiveness of the vaccine?",40.4,40.4,41.572,1,"Will the vaccine be effective long term, or can immunity go away?",32.913,33.771,34.516,2,Is herd immunity possible without vaccination?,40.583,40.583,41.781,1,Neither Agree nor Disagree,Somewhat Disagree,Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat agree,No,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,It is my personal choice,Vaccine not fully tested,The vaccine only partial projects and you will always take it like the flu jab,13.785,114.466,115.352,12,I at risk with my medical condition,I am an elderly person,It is my choice to take it,7.547,47.232,48.04,5,Once or twice a year,Most weeks,59,Male,-99,Vocational Training / Apprenticeship,Very likely,-99,Yes,NA,choice,0,0,FL_14,,,,
17/05/2021,17/05/2021,IP Address,100,345,TRUE,17/05/2021 12:35,R_30iZobNAk8w9Kuf,anonymous,EN,15.038,17.368,18.559,3,YES,NA,Against (I feel negatively about the vaccines),Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat disagree,No,,Undecided,,,,,,,,,,,,,36.753,36.753,38.94,1,,,,,,,,,,,,,,,,,10.22,10.22,12.807,1,,,,,,,,,,,,,,,,,4.754,4.754,5.879,1,,,,,,,,,,,,,,,,,2.782,2.782,4.143,1,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat agree,Undecided,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,they think it is dangerous ,they think it is ineffective ,they think it hasn't had enough time to develop ,10.435,56.638,58.161,6,they want to be immunised against the virus ,they want to protect someone who is vulnerable ,they want to help stop the spread of the virus ,4.242,45.692,46.8,5,Most days,Most days,53,Female,-99,"GCSEs,Vocational Training / Apprenticeship",Likely,-99,Yes,NA,control,0,0,FL_13,timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|1.1cntrl,timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|3.2cntrl,timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|2.3cntrl,timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|5.4cntrl
17/05/2021,17/05/2021,IP Address,100,1078,TRUE,17/05/2021 12:36,R_1CmgNLWL1aqR05S,anonymous,EN,11.606,34.923,35.725,3,YES,NA,Against (I feel negatively about the vaccines),Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat disagree,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do I really need a vaccine?,11.425,126.098,127.852,23,Can we trust vaccines from all countries?,6.747,97.073,103.591,17,Aren't other treatments preferable to vaccines?,10.536,72.156,75.101,12,How is the Covid-19 vaccine different to other vaccines?,5.389,101.497,106.319,25,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,No,Neither Agree nor Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Somewhat Disagree,Agree,Professionals on tv have said it won‰Ûªt protect you from getting the virus or stop you spreading it to others ,Vaccinations still won‰Ûªt return life back to normal,Because of what‰Ûªs in it ,15.732,123.076,124.511,7,Because they believe the fear ,Because they believe the death rate when it‰Ûªs not true ,Because they think life will return to normal but loads vaccinated and nothing changes ,9.758,100.235,103.393,10,Never,Never,34,Female,-99,No formal qualifications,Very likely,-99,Yes,NA,choice,0,0,FL_14,,,,
17/05/2021,17/05/2021,IP Address,100,1161,TRUE,17/05/2021 12:39,R_2gykf1JXxqkRjt7,anonymous,EN,5.572,57.011,57.658,26,YES,NA,Against (I feel negatively about the vaccines),Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat disagree,Yes,Undecided,,,,,,,,,,,,,,3.324,129.94,130.595,66,,,,,,,,,,,,,,,,,2.899,84.919,86.28,48,,,,,,,,,,,,,,,,,4.343,61.655,64.364,41,,,,,,,,,,,,,,,,,3.331,110.547,116.981,63,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat agree,No,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,"Aby possible long term effects are still not apparent, those trialling the vaccine are monitored for 2 years to keep an eye out for anything untoward occurring. ","I can wait as the rest of the population gets one, group immunity will help protect me too. ",Other trials such as that for thalidomide that were rushed provide an example of why i should be hesitant to get a jab so soon,7.97,196.377,197.073,16,"There have not been many particularly negative side effects reported yet, therefor its absolutely safe. ","If you don't get a vaccination, you are being selfish on the rest of the nation. Vaccinations are the only way to get out of lockdown and save our economy. ","I may as well get it or i won't be permitted to travel abroad, the government or even my workplace might also pose other restrictions on me if i'm not vaccinated. ",5.542,219.928,223.155,32,Rarely,A few times a year,35,Female,-99,"Undergraduate degree (BSc, BA)",Very likely,-99,Yes,NA,control,0,0,FL_13,timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|3.1cntrl,timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|4.2cntrl,timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|5.3cntrl,timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|2.4cntrl
17/05/2021,17/05/2021,IP Address,100,2201,TRUE,17/05/2021 12:41,R_tFfCDwJIwMiyz3r,anonymous,EN,2.286,6.341,7.477,3,YES,NA,Against (I feel negatively about the vaccines),Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat disagree,No,,No,,,,,,,,,,,,,0,0,30.168,0,,,,,,,,,,,,,,,,,29.785,29.785,57.737,1,,,,,,,,,,,,,,,,,0,0,35.527,0,,,,,,,,,,,,,,,,,1363.556,1363.556,1578.725,1,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat agree,Yes,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,"The vaccine received emergency approval, and consequently there is limited long-term data available.","The vaccines that use mRNA and involve genetically modified primates are a new technique, compared to vaccines that use weakened or deactivated pathogens.","COVID-19 has an extraordinarily low mortality rate in healthy young people, so it is not worth taking the vaccine unless one is elderly or has conditions such as an autoimmune disease.",4.988,159.408,160.415,8,It has been tested and approved by state medical regulators.,There haven't been widespread visible side effects several months after the introduction of the vaccines.,"Even if one is not vulnerable to the virus, getting vaccinated will reduce community transmission and therefore protect those who are.",1.654,63.151,99.36,3,Most weeks,Rarely,22,Male,-99,"Undergraduate degree (BSc, BA)",Very likely,-99,Yes,NA,control,0,0,FL_13,timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|2.1cntrl,timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|4.2cntrl,timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|1.3cntrl,timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|2.4cntrl
17/05/2021,17/05/2021,IP Address,100,1203,TRUE,17/05/2021 12:44,R_27OmbGv8apxVcAa,anonymous,EN,68.7,77.949,79.222,11,YES,NA,Against (I feel negatively about the vaccines),Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat disagree,No,,No,,,,,,,,,,,,,97.007,195.814,204.768,8,,,,,,,,,,,,,,,,,6.707,148.224,175.454,20,,,,,,,,,,,,,,,,,3.496,104.378,120.181,6,,,,,,,,,,,,,,,,,7.178,132.072,151.639,12,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat agree,No,Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,They do not trust the vaccine,they dont feel they have had enough time to develop the vaccine,people have died after having the vaccine,14.566,44.461,58.73,3,They trust the vaccine,they would rather take the vaccine than catch covid,They are afraid of catching covid and becoming very ill or possibly dying from the virus,8.942,69.67,72.143,8,A few times a year,Rarely,28,Female,-99,A levels,Very likely,-99,Yes,NA,control,0,0,FL_13,timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|4.1cntrl,timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|1.2cntrl,timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|5.3cntrl,timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|1.4cntrl
17/05/2021,17/05/2021,IP Address,100,1854,TRUE,17/05/2021 12:45,R_3MoFOmfLCecvx6L,anonymous,EN,29.939,57.258,58.628,19,YES,NA,Against (I feel negatively about the vaccines),Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Neither Agree nor Disagree,Somewhat disagree,No,,Undecided,,,,,,,,,,,,,460.591,639.515,640.632,33,,,,,,,,,,,,,,,,,2.893,156.338,157.206,24,,,,,,,,,,,,,,,,,1.226,321.343,321.88,43,,,,,,,,,,,,,,,,,18.634,143.157,143.689,14,,,,,,,,,,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Agree,Somewhat Disagree,Neither Agree nor Disagree,Agree,Somewhat agree,Undecided,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,I'm worried it will make me ill,I don't trust whats in it,I don't like being forced to do something.,16.901,55.24,56.085,9,I think it will protect me from the covid19 virus,It will protect the vulnerable groups ,It will allow me to move more freely,7.501,84.228,84.93,13,Most weeks,Most days,38,Female,-99,"Vocational Training / Apprenticeship,A levels",Very likely,-99,Yes,NA,control,0,0,FL_13,timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|2.1cntrl,timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|2.2cntrl,timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|1.3cntrl,timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|2.4cntrl
17/05/2021,17/05/2021,IP Address,100,1508,TRUE,17/05/2021 12:47,R_w0rx78OLDz0LKKJ,anonymous,EN,4.837,67.097,69.279,23,YES,NA,Against (I feel negatively about the vaccines),Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Somewhat disagree,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Are the vaccines safe?,10.438,139.597,141.151,17,Do we know enough about Covid-19 to develop a vaccine?,12.17,139.453,141.401,13,Are there serious side effects to the vaccine?,10.883,149.031,150.213,21,Is herd immunity possible without vaccination?,19.331,167.966,169.085,15,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,No,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,I have seen videos of people who have had reactions to the vacine ,My Children do not want me to have it ,I saw a video from a woman doctor/scientist who stated the vacine changes your DNA and destroys your immune system months after you have had it ,21.347,202.705,204.313,10,"I  want it if it stops me getting covid then ill have it, I can't see my relative in a nursing home  ","I need it to work , my company is insisting that we must have it .I don't want to get the sack ","I.need it to be able to go into pubs, go on holiday , go.to cinema etc, go to a restaurant ",11.669,288.551,290.374,34,A few times a year,Never,54,Female,-99,Vocational Training / Apprenticeship,Very likely,-99,Yes,NA,choice,0,0,FL_14,,,,
17/05/2021,17/05/2021,IP Address,100,31,TRUE,17/05/2021 12:52,R_3hDVrMi2PTRwrGB,anonymous,EN,2.027,4.588,5.471,3,YES,NA,Neutral (I don't have strong opinions either way),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,
